type,tel,areaname,lat,lng
police,191,Police,0,0
ambulance,193,Ambulance,0,0
fire,192,Fire Service,0,0
disaster,0322034084,Kumasi,6.6666004,-1.6162709
disaster,0244508351,Accra,5.6037168,-0.1869644
disaster,0302762593,Accra,5.6037168,-0.1869644
disaster,0322222145,Mampong Ashati,7.053137,-1.3999969
disaster,191,gobal,25.977458,90.3336614
disaster,0312046676,Takoradi,4.9015794,-1.7830973
disaster,0382023110,Bolgatanga,10.7875419,-0.8579818
disaster,0202006943,Ho,6.6101493,0.4785495
disaster,0362027158,Ho,6.6101493,0.4785495
disaster,0372023154,Tamale,9.432918599999999,-0.8484524
disaster,0392022657,Wa,47.7510741,-120.7401386
police,0352027307,Police Clinic Brong-Ahafo Region,7.321462599999999,-2.313641
police,0352522012,Techiman Police Station Brong-Ahafo Region,7.580618,-1.9426259
police,0352422209,Wenchi Police Station Brong-Ahafo Region,7.336454499999999,-2.3296351
disaster,0332132127,Cape Coast,5.13151,-1.2794744
disaster,0352027271,Sunyani,7.3349414,-2.3123031
police,0362026203,Ho Central M.T.U. Volta Region,6.61262,0.4693100000000001
police,0362350595,Kpando Police Station Volta Region,6.9994386,0.3015609
police,0372022889,Tamale Regional Headquarters Northern Region,9.411679699999999,-0.8250904
police,0362622259,Keta Police Station Volta Region,5.9013627,0.9883069
police,0362530215,Aflao Police Station Volta Region,6.121812,1.1848792
police,0372122039,Walewale Police Station Northern Region,10.3492754,-0.7988584
police,0372022905,M.T.T.U. Tamale Northern Region,9.432918599999999,-0.8484524
police,0372222004,Yendi Police Station Northern Region,9.4425267,-0.005173100000000001
police,0343020627,Akosombo Police Station Eastern Region,6.278878300000001,0.0521448
police,0342623000,Asamankese Police Station Eastern Region,5.860435799999999,-0.6648934999999999
police,0342822005,Aburi Police Station Eastern Region,5.855714,-0.1696866
police,0342022421,Central Police Station Koforidua Eastern Region,6.078764000000001,-0.2544828
police,0342122014,Nsawam Police Station Eastern Region,5.8106382,-0.3493711
police,0342122083,Nsawam Police Station Eastern Region,5.8106382,-0.3493711
police,0342322052,Mpraeso Police Station Eastern Region,6.6344913,-0.7427737000000001
police,0342522317,Suhum Police Station Eastern Region,6.0375203,-0.4500318
