type,tel,areaname,lat,lng
disaster,0244508351,Accra,,
disaster,0302762593,Accra,,
disaster,0322034084,Kumasi,,
disaster,0382023110,Bolgatanga,,
disaster,0322222145,Mampong Ashati,,
disaster,0312046676,Takoradi,,
disaster,0372023154,Tamale,,
disaster,0392022657,Wa,,
disaster,0202006943,Ho,,
disaster,0362027158,Ho,,
disaster,0332132127,Cape Coast,,
disaster,0352027271,Sunyani,,

police,0352027083,Regional Headquarters Syi Brong-Ahafo Region,,
police,0352027081,Regional Headquarters Syi Brong-Ahafo Region,,
police,0352027275,District Headquarters Syi Brong-Ahafo Region,,
police,0352027159,District Headquarters Syi Brong-Ahafo Region,,
police,0352027314,M.T.U. Charge Office Syi Brong-Ahafo Region,,
police,0352027307,Police Clinic Brong-Ahafo Region,,
police,0352222037,Berekum Police Station Brong-Ahafo Region,,
police,0352222072,District Police Commander Berekum Brong-Ahafo Region,,
police,0352222120,District Police Commander Berekum Brong-Ahafo Region,,
police,0352422209,Wenchi Police Station Brong-Ahafo Region,,
police,0352522012,Techiman Police Station Brong-Ahafo Region,,
police,0352322008,Dormaa Ahenkro Police Station Brong-Ahafo Region,,
police,0352322062,Dormaa District Police Station Brong-Ahafo Region,,
police,0352722004,Yeji Police Station Brong-Ahafo Region,,
police,0352622009,Atebubu Police Station Brong-Ahafo Region,,
police,0352622004,Atebubu District Police Station Brong-Ahafo Region,,
police,0352647106,Tepa Police Station Brong-Ahafo Region,,
police,0362530215,Aflao Police Station Volta Region,,
police,0362530439,District Police Commander Aflao Volta Region,,
police,0362530305,Denu Charge Office Volta Region,,
police,0362028324,Ho Central Police Station Volta Region,,
police,0362026203,Ho Central M.T.U. Volta Region,,
police,0362733015,Hohoe Police Station Volta Region,,
police,0362622259,Keta Police Station Volta Region,,
police,0362622011,Keta Krechi Police Station Volta Region,,
police,0362350595,Kpando Police Station Volta Region,,
police,0362026781,District Police Commander Ho Volta Region,,
police,0372022889,Tamale Regional Headquarters Northern Region,,
police,0372022297,Information Room Northern Region,,
police,0372022227,Deputy Commissioner Northern Region,,
police,0372022137,Charge Office Tamale Northern Region,,
police,0372022905,M.T.T.U. Tamale Northern Region,,
police,0372122039,Walewale Police Station Northern Region,,
police,0372622002,Salaga Police Station Northern Region,,
police,0372222004,Buipe Police Station Northern Region,,
police,0372322004,Damongo Police Station Northern Region,,
police,0372222004,Yendi Police Station Northern Region,,
police,0342822005,Aburi Police Station Eastern Region,,
police,0304292272176,Akim Oda Police Station Eastern Region,,
police,0304292272009,Akim Oda Police Station Eastern Region,,
police,0343020627,Akosombo Police Station Eastern Region,,
police,0343020789,Akosombo District Police Commission Eastern Region,,
police,0342623000,Asamankese Police Station Eastern Region,,
police,0342022252,Regional Police Station Koforidua Eastern Region,,
police,0342022256,District Police Commission Koforidua Eastern Region,,
police,0342022421,Central Police Station Koforidua Eastern Region,,
police,0342022569,Information Room Koforidua Eastern Region,,
police,0342024053,Akropong Akwapim Police Station Eastern Region,,
police,0342024092,Adukrom Akwapim Police Station Eastern Region,,
police,0342024093,Adukrom Akwapim Police Station Eastern Region,,
police,0343122014,Nkawkaw District Commission Eastern Region,,
police,0343122306,Nkawkaw Divisional Commission Eastern Region,,
police,0343122203,Nkawkaw Railways Police Station Eastern Region,,
police,0342122014,Nsawam Police Station Eastern Region,,
police,0342122083,Nsawam Police Station Eastern Region,,
police,0342322052,Mpraeso Police Station Eastern Region,,
police,0342422011,Donkorkrom Police Station Eastern Region,,
police,0342522317,Suhum Police Station Eastern Region,,
police,0342520076,Mamfe Akwapim Police Station Eastern Region,,
police,0342522016,Mamfe Akwapim Police Station Eastern Region,,
police,0392022305,Wa Police Station Upper West,,
police,0312046121,Regional Commander Upper West,,
police,0312046122,Charge Office Upper West,,
police,0312046896,M.T.U. Office Sekondi Upper West,,
police,0312046553,D.S.P.  Sekondi District Upper West,,
police,0312023132,District Headquarters Upper West,,
police,0312023609,Market Circle Charger Office Upper West,,
police,0312022096,Kwasimintsim Upper West,,
police,0312023168,Kwasimintsim Upper West,,
police,0312022892,Effiakuma Office Upper West,,
police,2031202261,Harbor Police Station Upper West,,
police,2031222049,Harbor Police Station Upper West,,
police,0312023131,Takoradi Police Staton Upper West,,
police,0312021219,Mobile Force Police Upper West,,
police,0312122221,Axim Charge Office Upper West,,
police,0312122259,District Headquarter Upper West,,
police,0312622006,Enchi Police Station Upper West,,
police,0312622012,Enchi Police Station Upper West,,
police,0312522004,Samreboi Police Station Upper West,,
police,0312320364,Tarkwa Police Station Upper West,,
police,0312320365,Tarkwa Police Station Upper West,,
police,0312422008,Asankragwa Police Station Upper West,,
police,0332132178,District Office Cape Coast Central Region,,
police,03321336311,District Office Elmina Central Region,,
police,0332233839,District Office Abura Dunkwa Central Region,,
police,0332133846,District Office Saltpond Central Region,,
police,0332132411,Central Police Station Cape Coast Central Region,,
police,0332132413,M.T.U. Cape Coast Central Region,,
police,0332322015,Winneba District Office Central Region,,
police,0332320014,Charge Office Winneba Central Region,,
police,0332322122,Charge Office Winneba Central Region,,
police,03320-20203,Swedru District Office Central Region,,
police,0332228319,Dunkwa District Office Central Region,,
police,0244986060,Kasoa District Office Central Region,,
police,0244788725,C.I.D. Kasoa Police Office Central Region,,
police,0332134202,Ekon Junction Check Point Central Region,,
police,0302662441,Deputy Comm. (Accra Reg),,
police,0302663563,Crime Office (Accra Reg),,
police,0302664861,S/Force Commander (Ar. Reg),,
police,0302662386,M.T.U. (Accra Commander),,
police,0302664206,M.T.U. Charge Office (Ar),,
police,0302663625,Central Charge Office (Accra),,
police,0302662517,Central Dist. Office (Accra),,
police,0302666506,Central  C.I.D. Office (Accra),,
police,0302773900,Police Headquarter,,
police,0302777606,Interpol Unit Comm. Office,,
police,0302223084,Commanding Officer Depot,,
police,0302228744,Police Depot,,
police,0302773900,Police Hospital,,
police,0302234463,D.S.P. Anti Armed Robbery,,
police,0302221368,Adabraka Police Station,,
police,0302664611,C.I.D. Headquarters,,
police,0302665561,C.I.D. Headquarters,,
police,0302664344,Police Striking Force,,
police,03026633550,Ussher Fort Police Station,,
police,0302227645,Kaneshie Police Station,,
police,0302224840,Kaneshie Police Station,,
police,0302664249,Korle-Bu Police Station,,
police,0302663970,Korle-Bu Dist Police Office,,
police,0302667883,Chorkor Police Station,,
police,0302776571,Cantonment Police Station,,
police,0302777592,Airport Police Station,,
police,0302500975,Legon Police Station,,
police,0302662438,Ministry Police Station,,
police,0302500322,Madina Police Station,,
police,0302712060,Kpeshie Nungua Police Station,,
police,0302712492,Kpeshie Divisional Commander,,
police,0302400999,Achimota Mile 7 Police Station,,
